Dataset,Model,Accuracy,F1 (Macro),Precision (Macro),Recall (Macro),F1 (Weighted),Precision (Weighted),Recall (Weighted),Train Time (s),Eval Time (s),Best Params
Book Review,BERT Feature Extractor + LR,0.7223111111111111,0.5769554695926576,0.5568292770205004,0.6649852147931609,0.7623516743454901,0.8400358685559967,0.7223111111111111,546.254,0.131,
Book Review,MLP (Avg Learned Emb),0.8567333333333333,0.5504883444092072,0.6615670607021683,0.5465431788145656,0.8225968578056754,0.8193458974475624,0.8567333333333333,29.871,3.172,
Book Review,LSTM (Learned Emb),0.8614666666666667,0.5323340886823417,0.6265590494452419,0.5367411514667434,0.8205257385889322,0.8094204503034216,0.8614666666666667,83.191,11.599,
Book Review,LSTM (GloVe Emb),0.8563555555555555,0.5272318079378765,0.5086298573842122,0.5474350282780925,0.8176995664266559,0.7824700670433643,0.8563555555555555,75.123,7.658,
Book Review,CNN (GloVe Emb),0.8376,0.4766717898079598,0.7359020724986505,0.4598649543162155,0.788081671317276,0.8129677052604972,0.8376,58.32,6.952,
Book Review,Naive Bayes,0.8312888888888889,0.4650496689180676,0.7367020980662807,0.4405556107891716,0.779582373104448,0.8080326309888475,0.8312888888888889,0.417,0.024,Default
Book Review,MLP (Avg GloVe Emb),0.8142,0.4109533304611254,0.4838544469653001,0.4052844358791499,0.7551633818982018,0.7300216568470544,0.8142,27.339,4.741,
Book Review,RNN (Learned Emb),0.7976444444444445,0.2958109789766031,0.2658814814814815,0.3333333333333333,0.7078559519590796,0.6362366597530864,0.7976444444444445,50.951,3.821,
Financial News,FinBERT Full FT,0.8707015130674003,0.8574163395911162,0.8447316300257476,0.8723794361049263,0.8716577590195416,0.8745258230006187,0.8707015130674003,58.347,1.397,
Financial News,RoBERTa Full FT,0.859697386519945,0.8553361473716953,0.8376828151850101,0.8772140622630819,0.8605430153813676,0.864450299028611,0.859697386519945,62.896,1.439,
Financial News,BERT Full FT,0.8514442916093535,0.8353445165945166,0.8233709649729319,0.8491993663562291,0.8522584734156261,0.8541837561826048,0.8514442916093535,58.964,1.399,
Financial News,DistilBERT Full FT,0.8404401650618982,0.8235341655157988,0.8062278440633666,0.8465264310852546,0.8413002255133367,0.8447563226746198,0.8404401650618982,33.782,0.801,
Financial News,DistilBERT Feature Extractor + LR,0.7455295735900963,0.7183765123733528,0.6952977158523765,0.7598562929445283,0.7501347002393307,0.7652550894243542,0.7455295735900963,9.28,0.003,
Financial News,BERT Feature Extractor + LR,0.7441540577716643,0.7131130428711074,0.6913478822604202,0.7535557670361593,0.7504047773675495,0.7692967437780741,0.7441540577716643,2.697,0.002,
Financial News,CNN (GloVe Emb),0.7675378266850069,0.707327108054284,0.7509606043573359,0.6870820265428108,0.7552819165237479,0.7658818293708451,0.7675378266850069,0.236,0.03,
Financial News,LightGBM,0.7537826685006878,0.7069469233544495,0.7026990759532962,0.7124911218048474,0.7535052870554307,0.7538728572246373,0.7537826685006878,57.734,0.049,"{'n_estimators': 629, 'learning_rate': 0.024222074378422335, 'num_leaves': 222, 'max_depth': 10, 'reg_alpha': 8.617543260805658e-05, 'reg_lambda': 5.3948820484868434e-05, 'colsample_bytree': 0.6533035703852993, 'subsample': 0.7916063485603703, 'min_child_samples': 13}"
Financial News,Logistic Regression,0.7427785419532325,0.6964949342147645,0.7015841187157078,0.6927740469407137,0.739981567818538,0.7385988050636341,0.7427785419532325,0.21,0.001,"{'C': 99.790101562862, 'solver': 'liblinear'}"
Financial News,Linear SVM,0.7317744154057771,0.682627639926444,0.6860406144522475,0.6799560279952437,0.7296131106872917,0.7282238935904363,0.7317744154057771,0.107,0.002,"{'C': 5.20340782572213, 'loss': 'squared_hinge'}"
Financial News,CNN (Learned Emb),0.7386519944979367,0.6706744517293495,0.7063524598735866,0.6491676442656834,0.7288318515927148,0.731484644914329,0.7386519944979367,0.343,0.096,
Financial News,BiLSTM (Learned Emb),0.734525447042641,0.6599852493778157,0.6834365293738446,0.6436571779709035,0.727058595221369,0.7248595401740338,0.734525447042641,0.301,0.036,
Financial News,Random Forest,0.7317744154057771,0.658289290826582,0.6879148629148629,0.6624545117192177,0.7200722037928107,0.7372202075778418,0.7317744154057771,0.3,0.048,"{'n_estimators': 165, 'max_depth': 42, 'min_samples_split': 11, 'min_samples_leaf': 4}"
Financial News,CNN-LSTM (GloVe Emb),0.7180192572214581,0.6059271786355453,0.6498756094692152,0.5849902639118325,0.7024640700181362,0.7008544455277593,0.7180192572214581,0.299,0.03,
Financial News,BiLSTM (GloVe Emb),0.7290233837689133,0.6042284382284383,0.6518834479360796,0.583909418468242,0.7111383691961409,0.709617923764018,0.7290233837689133,0.281,0.032,
Financial News,MLP (Avg GloVe Emb),0.687757909215956,0.5735230010324653,0.6003185987509757,0.5590868826162945,0.6742485355261636,0.6691387704595897,0.687757909215956,0.2,0.035,
Financial News,Naive Bayes,0.6753782668500687,0.4607093083204443,0.7604935913759444,0.4574859145937577,0.611825725995849,0.6991014487575699,0.6753782668500687,0.009,0.001,Default
Financial News,LSTM (Learned Emb),0.6698762035763411,0.4513453100163942,0.4225238813474107,0.4904684095860567,0.6340013506244102,0.6068651309852054,0.6698762035763411,0.272,0.03,
Financial News,MLP (Avg Learned Emb),0.6492434662998624,0.4222768548180155,0.396128911570591,0.4521604938271604,0.6050244704089893,0.5664765945565989,0.6492434662998624,0.286,0.028,
Financial News,LSTM (GloVe Emb),0.6203576341127923,0.3893904073512003,0.3686518794512041,0.4161220043572984,0.5693389460398683,0.5288121195299783,0.6203576341127923,0.239,0.028,
Financial News,RNN (Learned Emb),0.5955983493810179,0.2549994706606712,0.4206568446899938,0.3358297022512709,0.4485192804329856,0.5408133022259037,0.5955983493810179,0.286,0.029,
Financial News,RoBERTa LoRA FT,0.594222833562586,0.2484900776531492,0.1980742778541953,0.3333333333333333,0.4429754341657241,0.3531007759271487,0.594222833562586,34.469,1.585,
Financial News,BERT LoRA FT,0.5914718019257221,0.2477672140593488,0.1977011494252873,0.3317901234567901,0.4416868080067622,0.3524356116302234,0.5914718019257221,33.206,1.506,
